"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QEGI7L2K","conferencePaper","2014","Mashhadi, Afra; Kawsar, Fahim; Acer, Utku Günay","Human Data Interaction in IoT: The ownership aspect","2014 IEEE World Forum on Internet of Things (WF-IoT)","","","10.1109/WF-IoT.2014.6803139","https://ieeexplore.ieee.org/document/6803139","As Internet of Things (IoT) becomes a growing reality, more ubiquitous devices are embedded in our daily lives, serving us in a broad range of purposes in everyday life from: personal healthcare to home automation to tailored smart city services. These devices primarily collect data that is about or produced by people, be it street noise level of a neighbourhood, or the energy footprint of an individual's home or her location and other situational context. As this unprecedented amount of data is collected, we are challenged with one fundamental research question: who owns this data and who should have access to it? Specifically, the emergent of the Human Data Interaction (HDI) topic which aims to put the human at the centre of the data driven industry, calls attention to the IoT community to address the data ownership aspect more carefully. In this note, we offer a reflection on the challenges that IoT faces in regards to the data ownership in HDI and advocate the roles that both ordinary people and industries must play to best answer those challenges in shaping the IoT landscape.","2014-03","2023-11-22 21:23:01","2023-11-22 21:23:01","2023-11-22 21:23:01","159-162","","","","","","Human Data Interaction in IoT","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\DELL\Zotero\storage\B4SSYVUI\6803139.html; C:\Users\DELL\Zotero\storage\VRQZSUT7\Mashhadi et al. - 2014 - Human Data Interaction in IoT The ownership aspec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014 IEEE World Forum on Internet of Things (WF-IoT)","","","","","","","","","","","","","","",""
"BCNJVIXJ","conferencePaper","2014","Góngora, Gina Paola Maestre","Public Policy on Information Technology in Colombia: Bet on the future for the use and ownership of IT in society","2014 XL Latin American Computing Conference (CLEI)","","","10.1109/CLEI.2014.6965109","https://ieeexplore.ieee.org/document/6965109","Information Technology (IT) is an integral part of modern culture and are the main driver for development and innovation in the economic and social world. The Colombian local context is no stranger to the trend in IT investments, which are strongly led by the government through the Ministry of ICT through provision of infrastructure, policy and some state programs. This paper gives an overview of public policies IT in Colombia and an analysis of the evolution of these policies, presented the national digital ecosystem, strategies and achievements in recent years in implementing the Plan Vive Digital.","2014-09","2023-11-22 21:25:53","2023-11-22 21:25:53","2023-11-22 21:25:53","1-8","","","","","","Public Policy on Information Technology in Colombia","","","","","","","","","","","","IEEE Xplore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014 XL Latin American Computing Conference (CLEI)","","","","","","","","","","","","","","",""
"TZDDM37I","journalArticle","2015","Kirk, Colleen; Swain, Scott; Gaskin, James","I'm proud of it: Consumer technology appropriation and psychological ownership","The Journal of Marketing Theory and Practice","","","10.1080/10696679.2015.1002335","","In this conceptual paper, using the lens of self-design we examine the relationship between consumer technology appropriation and psychological ownership, suggesting that pride plays a key and multi-faceted role. Resolving discrepancies in the literature, we propose that authentic pride operates as an antecedent of psychological ownership, while hubristic pride strengthens the effect of psychological ownership on outcomes such as economic valuation and word-of-mouth. We further enrich the conceptualization by considering the moderating effects of the technology consumption context (public versus private) as well as consumers’ perceptions of situation strength (strong versus weak behavioral constraints).","2015-03-26","2023-11-22 21:29:14","2023-11-22 21:29:14","","166-184","","","23","","The Journal of Marketing Theory and Practice","I'm proud of it","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/publication/274072269_I%20m_proud_of_it_Consumer_techn%20ology_appropriation_and_psychological_ownership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIF2CREY","webpage","2019","Navneet Alang","Who owns your tech?","theweek","","","","https://theweek.com/articles/854493/who-owns-tech","And do you have the right to repair it?","2019-07-26","2023-11-22 21:29:32","2023-12-26 19:43:14","2023-11-22 21:29:32","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HFGVF6H","webpage","2021","Nero, Rafael del","The Problem of Lack of Ownership With Software Development","Java Challengers","","","","https://javachallengers.com/the-problem-of-lack-of-ownership-with-software-development/","Many companies are suffering from a lack of ownership problem in the projects they have. Check out what you can do to solve this big problem!","2021-01-04","2023-11-22 21:30:18","2023-11-22 21:30:18","2023-11-22 21:30:18","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7THAXJH","webpage","2017","","The Problems of Data Ownership and Data Security - Database Football","","","","","https://databasefootball.com/problems-data-ownership-data-security/","Data science is one of the fastest growing fields in the world. We’re creating data all the time, and recent estimates show with that approximately 90% of the data that exists in the world today has been created over the last two years alone. Much of this data is created by everyday people, through posts","2017-10-03","2023-11-22 21:30:33","2023-11-22 21:30:33","2023-11-22 21:30:33","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6RWMQP2","journalArticle","2014","Lakmal, K. A. Darshana","SOME ISSUES IN OWNERSHIP STRUCTURE AND CORPORATE GOVERNANCE","Risk Governance and Control: Financial Markets & Institutions","","","","https://virtusinterpress.org/SOME-ISSUES-IN-OWNERSHIP-STRUCTURE.html","Abstract  Corporate governance is a process that aims to allocate corporate resources in a manner that maximizes value for all stakeholders — shareholders, investors, employees, customers, suppliers, environment and the community at large and holds those at the helms to account by evaluating their decisions on transparency, inclusivity, equity and responsibility. Corporate governance has been commonly defined as the rules and procedures in place for governing an organization. It is the set (...)","2014","2023-11-22 21:30:47","2023-11-22 21:30:47","2023-11-22 21:30:47","","","","","","","","","","","","","","en","","","","","virtusinterpress.org","","","","C:\Users\DELL\Zotero\storage\RP37VJJ5\Lakmal - 2014 - SOME ISSUES IN OWNERSHIP STRUCTURE AND CORPORATE G.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6JK3L7F","journalArticle","2023","Kristensen, Thomas Artmann; Green-Pedersen, Christoffer; Mortensen, Peter B.; Seeberg, Henrik Bech","Avoiding or engaging problems? Issue ownership, problem indicators, and party issue competition","Journal of European Public Policy","","1350-1763","10.1080/13501763.2022.2135754","https://doi.org/10.1080/13501763.2022.2135754","Issue competition theories posit that political parties have little incentive to emphasize the same issues, because they mostly benefit from emphasizing issues where they are viewed as more competent. In contrast, a number of empirical studies find considerable overlap in parties’ issues emphasis. Aiming to bridge this peculiar gap, this paper suggests that the development of exogenous problems is one factor that constrains parties’ incentives to talk past each other. Using comprehensive data on party attention to ten issues across six West European countries from approximately 1980 and onwards, the analysis shows that problems moderate the relationship between parties’ issue reputations and their issue emphases. When problems are moderate, parties selectively focus on different issues, but when problems become severe, parties across the board attend to an issue. That even includes parties that do not own the issue. These results have reassuring implications for parties’ responsiveness to societal problems that negatively affect the welfare of citizens.","2023-12-02","2023-11-22 21:31:13","2023-11-22 21:31:13","2023-11-22 21:31:10","2854-2885","","12","30","","","Avoiding or engaging problems?","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/13501763.2022.2135754","","","","","issue overlap; Issue ownership; party competition; problem indicators; problems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FCWF3I5","journalArticle","2018","Stubager, Rune","What is Issue Ownership and How Should We Measure It?","Political Behavior","","1573-6687","10.1007/s11109-017-9403-y","https://doi.org/10.1007/s11109-017-9403-y","Recently, the concept of issue ownership has attracted increasing attention by students of electoral behaviour as well as party competition. However, both the definition and measurement of issue ownership—often drawn from Petrocik’s seminal 1996-article—is unclear. This constitutes a serious drawback to the further development and understanding of issue ownership itself and its purported effects. The paper addresses these problems by, first, establishing a definition of issue ownership at the individual level. On this basis, the standard ‘which party is best at handling issue X’ measure of issue ownership is assessed. The analyses using experiments embedded in a nationally representative panel survey indicate that the measure lacks validity and is partially redundant. Consequently, its replacement with a better performing alternative is recommended.","2018-06-01","2023-11-22 21:31:23","2023-11-22 21:31:23","2023-11-22 21:31:23","345-370","","2","40","","Polit Behav","","","","","","","","en","","","","","Springer Link","","","","C:\Users\DELL\Zotero\storage\7U8V7Y79\Stubager - 2018 - What is Issue Ownership and How Should We Measure .pdf","","","Issue ownership; Political parties; Public opinion; Question wording","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQ4CPJTJ","journalArticle","2018","Cherry, Catherine E.; Pidgeon, Nick F.","Why Is Ownership an Issue? Exploring Factors That Determine Public Acceptance of Product-Service Systems","Sustainability","","2071-1050","10.3390/su10072289","https://www.mdpi.com/2071-1050/10/7/2289","Shifting away from ownership towards access-based consumption, innovative new business models known as product-service systems (PSS) are advocated as part of a more circular, resource efficient economy. With product ownership (and responsibility for repair) remaining with providers, pay-per-use services are promoted as one such model, which can both increase product longevity and reduce the ‘burdens of ownership’ on consumers. However, PSS also require public acceptance of access-based consumption, including the long-term use of non-owned products and a range of accompanying contractual obligations. We conducted a series of deliberative workshops with the public, aiming to explore the concept of pay-per-use PSS and the role that concerns about ownership and responsibility may have in determining public acceptance. Rather than focusing on innate desires for product ownership, we found that participants’ concerns regarding pay-per-use PSS were usually related to wider fears surrounding the risks and responsibilities of entering into contract-based service agreements. Identifying four public narratives of service provision (Ownership and convenience; Risk and responsibility; Affordability and security; Care and control), we argue that successful introduction of PSS will only be possible if careful consideration is given to deeply held values pertaining to ownership, responsibility and trust that influence such cultural understandings.","2018-07","2023-11-22 21:31:31","2023-11-22 21:31:31","2023-11-22 21:31:31","2289","","7","10","","","Why Is Ownership an Issue?","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 7 Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\DELL\Zotero\storage\7M8JSIPR\Cherry and Pidgeon - 2018 - Why Is Ownership an Issue Exploring Factors That .pdf","","","ownership; alternative ownership models; circular economy; product-service systems; public acceptance; responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BTRBMBX","webpage","2020","Bloor, Robin","Data Ownership: Who Owns Data, and Why It Matters","Permission.io","","","","https://permission.io/blog/data-ownership/","The concept of Data Ownership is becoming increasingly important as our world zooms through the digial age. Make sure you are in the know about your data.","2020-06-26","2023-11-22 21:32:26","2023-11-22 21:32:26","2023-11-22 21:32:26","","","","","","","Data Ownership","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAHZDJKY","journalArticle","2018","Kirk, Colleen P.; Swain, Scott D.","Consumer Psychological Ownership of Digital Technology","Psychological Ownership and Consumer Behavior","","","","https://www.academia.edu/37133429/Consumer_Psychological_Ownership_of_Digital_Technology","In this chapter, we present evidence that despite the intangible nature of digital technologies, consumers often come to feel psychological ownership of these technologies. Further, we find that digital technologies often facilitate the emergence of","2018","2023-11-22 21:34:35","2023-11-22 21:34:35","2023-11-22 21:34:35","69","","","","","","","","","","","","","en","","","","","www.academia.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTSQQNF4","conferencePaper","2010","Gaskin, James; Lyytinen, Kalle","Psychological Ownership and the Individual Appropriation of Technology","2010 43rd Hawaii International Conference on System Sciences","","","10.1109/HICSS.2010.472","https://ieeexplore.ieee.org/document/5428561","We use information technology to accomplish a significant portion of our daily tasks. The way individuals choose to use technology varies as much as the outcomes of their usage. Appropriation the way that people choose or learn to use technology has been explored at a group level to explain group behaviors and performance. Although appropriation antecedents and outcomes have been investigated in many studies, none has attempted to explain the motivations or factors influencing the individual appropriation of technology; nor has extant research discovered the impacts resulting from individual appropriation. In this exploratory paper, we inquire within this gap by arguing that appropriation and psychological ownership are theoretically equivalent. This new theoretical connection suggests potentially significant antecedents for individual appropriation, which have been overlooked.","2010-01","2023-11-22 21:36:02","2023-11-22 21:36:02","2023-11-22 21:36:02","1-8","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1530-1605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010 43rd Hawaii International Conference on System Sciences","","","","","","","","","","","","","","",""
"ZZZTBTFC","journalArticle","2023","Zhang, Xiekui; Yu, Baocheng","The Impact of Ownership Structure on Technological Innovation and Energy Intensity: Evidence from China","Sustainability","","2071-1050","10.3390/su15118512","https://www.mdpi.com/2071-1050/15/11/8512","Environmental pollution and climate warming have become global issues affecting human life, and the burning of fossil fuels is a major source of greenhouse gases. Ownership structure is related to energy efficiency and a change in ownership structure has a significant potential for energy saving. However, few papers have studied the impact of ownership structure on energy intensity from the perspective of technological innovation in the past. Based on panel data from 29 Chinese provinces from 2005 to 2020, we systematically investigate the impact of industrial department ownership structure on energy intensity and study the function of technological innovation in this relationship from the perspective of ownership heterogeneity by using empirical models including ordinary least squares, two-way fixed effects and random effects. The empirical results of this study reveal three findings. First, as the proportion of state-owned industrial enterprises increases by one unit, energy intensity increases by 0.803 units. However, as the proportion of Hong Kong, Macao and Taiwan-invested industrial enterprises, private industrial enterprises and foreign-invested industrial enterprises increases by one unit, energy intensity decreases by 0.847 units and 0.549 units. Second, R&D activities, FDI, capital intensity and exports can significantly reduce energy intensity, but imports can increase energy intensity. Third, the ownership structure can affect energy intensity by influencing R&D expenditure. The increase in the proportion of state-owned industrial enterprises can reduce R&D expenditure, but results in the opposite situation in private firms. Foreign-invested enterprises can reduce energy intensity by making more use of the parent company’s technology. Based on the above empirical results, we propose suggestions to reduce energy intensity, which can provide reference for government to formulate more effective energy policies and realize sustainable development.","2023-01","2023-11-22 21:36:13","2023-11-22 21:36:13","2023-11-22 21:36:13","8512","","11","15","","","The Impact of Ownership Structure on Technological Innovation and Energy Intensity","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 11 Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\DELL\Zotero\storage\JCIXQ6IW\Zhang and Yu - 2023 - The Impact of Ownership Structure on Technological.pdf","","","energy intensity; industrial department; ownership structure; technological innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDWUTMK5","journalArticle","2019","Prainsack, Barbara","Logged Out: Ownership, Exclusion and Public Value in the Digital Data and Information Commons","Big Data and Society","","","10.1177/2053951719829773","","","2019","2023-11-22 21:36:27","2023-11-22 21:36:27","","","","1","6","","","Logged Out","","","","","","","","","","","","PhilPapers","","Publisher: Sage Publications","","C:\Users\DELL\Zotero\storage\LB55RPZ9\Prainsack - 2019 - Logged Out Ownership, Exclusion and Public Value .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z332LCKP","journalArticle","2000","Lipinski, Tomas A.; Britz, Johannes","Rethinking the Ownership of Information in the 21St Century: Ethical Implications","Ethics and Information Technology","","","10.1023/a:1010064313976","","","2000","2023-11-22 21:36:39","2023-11-22 21:36:39","","49–71","","1","2","","","Rethinking the Ownership of Information in the 21St Century","","","","","","","","","","","","PhilPapers","","Publisher: Springer Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUELRRRS","journalArticle","2004","Cahir, John","The Withering Away of Property: The Rise of the Internet Information Commons","Oxford Journal of Legal Studies","","","10.1093/ojls/24.4.619","","","2004","2023-11-22 21:36:48","2023-11-22 21:36:48","","619–641","","4","24","","","The Withering Away of Property","","","","","","","","","","","","PhilPapers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVV5J4U7","bookSection","2012","Wilson, James","On the Value of the Intellectual Commons","New Frontiers in the Philosophy of Intellectual Property","","","","","","2012","2023-11-22 21:36:57","2023-11-22 21:36:57","","","","","","","","","","","","","","","","","","","","PhilPapers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TTRQGKV","journalArticle","2015","Karahanna, Elena; Xu, Sean Xin; Zhang, Nan (Andy)","Psychological Ownership Motivation and Use of Social Media","Journal of Marketing Theory and Practice","","1069-6679","10.1080/10696679.2015.1002336","https://www.tandfonline.com/doi/abs/10.1080/10696679.2015.1002336","We build on and extend research on psychological ownership by developing the concept of psychological ownership motivation. Drawing on psychological ownership theory that has identified the underlying motives (i.e., the need for effectance, self-identity, and for having a place) that are the roots of psychological ownership, we define psychological ownership motivation as the drive to engage in behaviors to satisfy the motives that underlie psychological ownership. We submit that psychological ownership motivation drives individuals to engage in social media use because social media have affordances to fulfill the underlying needs of psychological ownership. We develop measurement scales for these needs and our empirical results suggest that these needs collectively contribute to psychological ownership motivation, which, in turn, drives social media use.","2015-04-03","2023-11-22 21:37:05","2023-11-22 21:37:05","2023-11-22 21:37:05","185-207","","2","23","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://www.tandfonline.com/doi/pdf/10.1080/10696679.2015.1002336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S27EUPTK","journalArticle","2011","Silvola, Risto; Jaaskelainen, Olli; Kropsu‐Vehkapera, Hanna; Haapasalo, Harri","Managing one master data – challenges and preconditions","Industrial Management & Data Systems","","0263-5577","10.1108/02635571111099776","https://doi.org/10.1108/02635571111099776","Purpose – This paper aims to provide a framework of the multidimensional concept of one master data. Preconditions required for successful one master data implementation and usage in large high‐tech companies are presented and related current challenges companies have today are identified. Design/methodology/approach – This paper is qualitative in nature. First, literature was studied to find out the elements of one master data. Second, an interview study was carried out in eight high‐tech companies and in three expert companies. Findings – One master data management framework is the composition of data, processes and information systems. Accordingly, the key challenges related to the data are that the definitions of master data are unclear and overall data quality is poor. Challenges on processes related to managing master data are inadequately defined data ownership, incoherent data management practices and lack of continuous data quality practices. Integrations between applications are fundamental challenge to tackle when constructing an holistic one master data. Research limitations/implications – Studied companies are vanguards in the area of master data management (MDM), providing good views on topical issues in large companies. This study offers a general view of the topic but not describes special company situations as companies need to adapt the presented concepts for their specific case. Significant implication for future research is that MDM can no more be classified and discussed as only an IT problem but it is a managerial challenge which requires structural changes on mindset how issues are handled. Practical implications – This paper provides a better understanding over the issues which are impacting on the implementation of one master data. The preconditions of implementing and executing one master data are: an organization wide and defined data model; clear data ownership definitions; pro‐active data quality surveillance; data friendly company culture; the clear definitions of roles and responsibilities; organizational structure that supports data processes; clear data process definitions; support from the managerial level; and information systems that utilize the unified data model. The list of preconditions is wide and it also describes the incoherence of current understanding about MDM. This list helps business managers to understand the extent of the concept and to see that master data management is not only an IT issue. Originality/value – The existing practical research on master data management is limited and, for example, the general challenges have not been reported earlier. This paper offers practical research on one master data. The obtained results illustrates the extent of the topic and the fact that business relevant data management is not only an IT (application) issue but requires understanding of the data, its utilization in organization and supporting practices such as data ownership.","2011-01-01","2023-11-22 21:44:07","2023-11-22 21:44:07","2023-11-22 21:44:03","146-162","","1","111","","","","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Group Publishing Limited","","C:\Users\DELL\Zotero\storage\CAREMAJZ\html.html","","","Communication technologies; Data handling; Information systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9BPEG4HT","journalArticle","2020","Gilmour, Paul Michael","Lifting the veil on beneficial ownership: Challenges of implementing the UK’s registers of beneficial owners","Journal of Money Laundering Control","","1368-5201","10.1108/JMLC-02-2020-0014","https://doi.org/10.1108/JMLC-02-2020-0014","Purpose This paper aims to critically explore the challenges facing the UK in implementing registers of beneficial owners, a measure mandated by the EU’s anti-money laundering (AML) directive to enhance beneficial ownership transparency. Design/methodology/approach This study systematically reviews the literature surrounding beneficial ownership transparency to critically analyse the extent to which challenges facing the UK, impact upon its ability to successfully implement registers of beneficial owners. Findings This study demonstrates that a lack of beneficial ownership transparency facilitates money laundering by concealing corrupt wealth and frustrating authorities’ efforts to trace illicit finance. It demonstrates that implementing registers of beneficial owners may be a superficial approach to tackling the multifaceted problem of money laundering. Better intergovernmental cooperation is required to improve beneficial ownership transparency and to ensure measures to curb offshore money laundering are successful. Research limitations/implications This research focuses on one aspect of AML control from the UK’s perspective. Further work is needed to investigate the concerns from the perspective of offshore jurisdictions and how global AML rule affects developing economies. Practical implications The study informs policymakers and other professionals implementing the UK’s registers of beneficial owners to enhance future strategies and better combat offshore money laundering. Originality/value This is the only study to explore the challenges facing the UK in implementing registers of beneficial owners, thus providing novel insight into the moral, legal and practical dilemmas to imposing AML control.","2020-01-01","2023-11-22 21:44:07","2023-11-22 21:44:07","2023-11-22 21:44:04","717-734","","4","23","","","Lifting the veil on beneficial ownership","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","C:\Users\DELL\Zotero\storage\R96Q8WWV\html.html","","","AML directive; Banking secrecy; Beneficial ownership transparency; Money laundering; Offshore banking; Tax haven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJE7MRMR","journalArticle","2012","Cumbers, Andrew; McMaster, Robert","Rethinking public ownership and participation","On the Horizon","","1074-8121","10.1108/10748121211256775","https://doi.org/10.1108/10748121211256775","Purpose – This paper seeks to challenge the simplistic formulation of public ownership in terms of centralized planning and state bureaucracy. Instead, drawing on the works of Dewey and Veblen the paper aims to argue that public ownership is a critical aspect of forging progressive change through enhancing democratic participation in economic decision making. Design/methodology/approach – The paper presents a conceptual analysis of public ownership types and employs case examples to further illuminate the argument. Findings – The conceptual analysis challenges the supposition of market superiority in standard economic approaches and in neoliberalism. Drawing from the instrumental valuation principle a wide corpus of public ownership modes can offer the prospect of enhanced democratic participation that challenges existing power structures. Originality/value – By emphasising the association between ownership and democracy the paper challenges the assumption that markets necessarily offer the only route to democratic participation. It also identifies and challenges the market fundamentalism of standard economic approaches.","2012-01-01","2023-11-22 21:44:07","2023-11-22 21:44:07","2023-11-22 21:44:05","172-181","","3","20","","","","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Group Publishing Limited","","C:\Users\DELL\Zotero\storage\ZI96SW24\html.html","","","Participation; Democracy; Economic theory; Knowledge; Markets; Public ownership; Public sector organizations","Jo, Tae‐Hee; Chester, Lynne; C. King, Mary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCWSFYQC","bookSection","2021","Preminger, Jonathan","Moral Community as a Yardstick for Alternative Organizations: Evaluating Employee Ownership and its Place within the Socioeconomic Order","Organizational Imaginaries: Tempering Capitalism and Tending to Communities through Cooperatives and Collectivist Democracy","978-1-83867-989-7 978-1-83867-990-3","","","https://doi.org/10.1108/S0733-558X20210000072004","Following critiques of shareholder capitalism and calls for reform of the corporation, employee-owned firms have attracted public and government attention in the UK and elsewhere, based on the view that these alternative organizations serve a broader public purpose. However, despite attempts to broaden the measures for evaluating organizations and take seriously the social effects of business decisions, we lack a holistic framework for evaluating this public purpose that addresses aspirations like participation, democracy, equality, solidarity, and strong community relations alongside financial resilience and profitability. This study proposes that a solution can be found in Selznick’s concept of “moral community.” Selznick argued that community, conceived as a response to the perceived unravelling of the social fabric, plays a vital role in countering the excesses of capitalism. Using this as a yardstick to evaluate employee ownership (EO) in the UK, the author argues that the EO organizational field is indeed an embodiment of a moral community. It successfully infuses a broad range of social values into economic pursuits, nurtures an inclusive sense of the “common good,” and mitigates the alienation resulting from an increasingly marketized society. At the same time, the EO moral community does not reject capitalism as such, aspiring to connect with and reform existing political, financial, and legal structures as opposed to positioning its own institutions as an alternative to them. There are, therefore, limits to the challenge that the EO community levels against the current socioeconomic order.","2021-01-01","2023-11-22 21:44:07","2023-11-22 21:44:07","2023-11-22 21:44:07","83-112","","","72","","","Moral Community as a Yardstick for Alternative Organizations","Research in the Sociology of Organizations","","","","Emerald Publishing Limited","","","","","","","Emerald Insight","","DOI: 10.1108/S0733-558X20210000072004","","C:\Users\DELL\Zotero\storage\NNEM8ETM\html.html","","","Alternative organizations; Capitalism; Collectivist-democratic organizations; Communitarianism; Community; Employee ownership","K. Chen, Katherine; Tan Chen, Victor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HFFENB9","journalArticle","2021","Nik Abdul Ghani, Nik Abdul Rahim; Salleh, Ahmad Dahlan; Jusoh @ Yusoff, Amir Fazlim; Mat Zain, Mat Noor; Yaacob, Salmy Edawati; Ahmad, Azlin Alisa; Saleem, Muhammad Yusuf","Critical analysis of beneficial ownership in mushārakah based home financing in Malaysia","Qualitative Research in Financial Markets","","1755-4179","10.1108/QRFM-01-2020-0003","https://doi.org/10.1108/QRFM-01-2020-0003","Purpose This paper critically aims to examine the concept of beneficial ownership and its application in musharakah-based home financing. Design/methodology/approach The study applies the method of juristic interpretation in analyzing the meaning of beneficial ownership in legal documentation of musharakah-based home financing. This qualitative study uses content analysis approach that investigates the works of Islamic scholars on the concept of ownership and evaluates the concept of beneficial ownership in musharakah-based home financing from the Islamic perspective. Findings The result finds that beneficial ownership is considered a true ownership, as Shari’ah allows the transfer of ownership based on the offer and acceptance in a contract. Furthermore, the absence of legal registration does not mean the absence of true ownership, whereas all documentations and agreements have clearly stated rights and liabilities of each contracting parties. Originality/value This paper provides a fiqhi discussion of analyzing beneficial ownership in musharakah-based home financing. It shows that Shari’ah parameters are essential for the use of beneficial ownership to ensure its compliance with the Shari’ah requirements of milkiyyah (ownership).","2021-01-01","2023-11-22 21:47:35","2023-11-22 21:47:35","2023-11-22 21:47:32","161-182","","2","13","","","","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","C:\Users\DELL\Zotero\storage\C8GHJGI5\html.html","","","Ownership; Beneficial; Home financing; Islamic finance; Musharakah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
